SCRIP,NAME,SECTOR
BLS,BLS International Services Ltd.,Miscellaneous
539946,Bazel International Ltd.,Finance - Investment
540404,Prime Fresh Ltd.,Logistics
540151,Diksat Transworld Ltd.,TV Broadcasting &amp; Software Production
KKVAPOW,KKV Agro Powers Ltd.,Power Generation-Distribution
539982,Advance Syntex Ltd.,Textile
539956,TAAL Enterprises Ltd.,Airlines
DIGJAMLMTD,Digjam Ltd.,Textile - Weaving
LSIL,Lloyds Steels Industries Ltd.,Engineering - Industrial Equipments
539991,Confidence Futuristic Energetech Ltd.,Gas Transmission-Marketing
540006,East West Holdings Ltd.,Finance - Investment
540078,Mitsu Chem Plast Ltd.,Plastic Products
540024,Ashari Agencies Ltd.,Finance - Investment
540026,Ladam Affordable Housing Ltd.,Finance - Investment
540125,Radhika Jeweltech Ltd.,Diamond  &amp;  Jewellery
540938,Gujarat Hy-Spin Ltd.,Textile - Spinning
HGINFRA,H.G. Infra Engineering Ltd.,Engineering - Construction
540062,Golden Crest Education &amp; Services Ltd.,Educational Institutions
540146,Aditya Consumer Marketing Ltd.,Retailing
540084,Spicy Entertainment &amp; Media Ltd.,Film Production
540080,Narayani Steels Ltd.,Steel &amp; Iron Products
540252,Veeram Securities Ltd.,Diamond  &amp;  Jewellery
540147,Shashijit Infraprojects Ltd.,Construction - Real Estate
CROWN,Crown Lifters Ltd.,Miscellaneous
SABEVENTS,SAB Events &amp; Governance Now Media Ltd.,Printing And Publishing
540148,Bindal Exports Ltd.,Trading
AVSL,AVSL Industries Ltd.,Chemicals
540152,India Green Reality Ltd.,Construction - Real Estate
540358,RMC Switchgears Ltd.,Electric Equipment
540108,Tiaan Consumer Ltd.,Finance - Investment
SAKAR,Sakar Healthcare Ltd.,Pharmaceuticals &amp; Drugs
JETKNIT,Jet Knitwears Ltd.,Textile
GICL,Globe International Carriers Ltd.,Logistics
540132,Sabrimala Industries India Ltd.,Retailing
JAIPURKURT,Nandani Creation Ltd.,Textile
AURDIS,Aurangabad Distillery Ltd.,Breweries &amp; Distilleries
PANSARI,Pansari Developers Ltd.,Construction - Real Estate
DRL,Dhanuka Realty Ltd.,Construction - Real Estate
ARTNIRMAN,Art Nirman Ltd.,Construction - Real Estate
540205,Aditya Vision Ltd.,Retailing
540332,Tanvi Foods (India) Ltd.,Consumer Food
540468,KMS Medisurgi Ltd.,Medical Equipment-Supplies-Accessories
MASKINVEST,Mask Investments Ltd.,Finance - Investment
AGROPHOS,Agro Phos India Ltd.,Fertilizers
540174,Southern Infosys Ltd.,IT - Software
540190,Franklin Industries Ltd.,Construction - Real Estate
JETFREIGHT,Jet Freight Logistics Ltd.,Logistics
540198,Osiajee Texfab Ltd.,Textile
EIFFL,Euro India Fresh Foods Ltd.,Consumer Food
TMRVL,The Mandhana Retail Ventures Ltd.,Retailing
LIBAS,Libas Consumer Products Ltd.,Textile
PROLIFE,Prolife Industries Ltd.,Chemicals
PSPPROJECT,PSP Projects Ltd.,Construction - Real Estate
540377,IFL Enterprises Ltd.,Trading
540401,Maximus International Ltd.,Trading
GTPL,GTPL Hathway Ltd.,TV Broadcasting &amp; Software Production
540654,Globalspace Technologies Ltd.,IT - Software
HAPPSTMNDS,Happiest Minds Technologies Ltd.,IT - Software
540254,Marg Techno Projects Ltd.,Trading
540395,Chemcrux Enterprises Ltd.,Chemicals
MCL,Madhav Copper Ltd.,Metal - Non Ferrous
540259,Shangar Decor Ltd.,Miscellaneous
540266,Globe Commercials Ltd.,Trading
540268,Dhanvarsha Finvest Ltd.,Finance - Stock Broking
KRISHANA,Krishana Phoschem Ltd.,Fertilizers
SMLT,Sarthak Metals Ltd.,Metal - Ferrous
PRICOLLTD,Pricol Ltd.,Auto Ancillary
GLOBAL,Global Education Ltd.,Educational Institutions
540396,Manomay Tex India Ltd.,Textile - Weaving
NITIRAJ,Nitiraj Engineers Ltd.,Engineering - Industrial Equipments
SALASAR,Salasar Techno Engineering Ltd.,Engineering - Industrial Equipments
540402,Manas Properties Ltd.,Construction - Real Estate
540455,Escorp Asset Management Ltd.,Finance - Asset Management
540416,Octaware Technologies Ltd.,IT - Software
AKASH,Akash Infra-Projects Ltd.,Engineering - Construction
AIRAN,Airan Ltd.,IT - Software
540359,Parmax Pharma Ltd.,Pharmaceuticals &amp; Drugs
LAXMICOT,Laxmi Cotspin Ltd.,Textile - Spinning
